"","V1","italia"
"1","ACQUISTATO DA CENTRO DI PRODUZIONE SEMINALE",TRUE
"2","ACQUISTATO DA PAESI UE CON CEDOLA",FALSE
"3","ACQUISTATO DA PAESI UE",FALSE
"4","ACQUISTATO DA FIERA O MERCATO",TRUE
"5","ACQUISTATO DA CENTRO GENETICO",TRUE
"6","ACQUISTATO DA CENTRO DI RACCOLTA",TRUE
"7","ACQUISTATO DA STALLA DI SOSTA",TRUE
"8","ACQUISTATO DA ALL. ITALIANO",TRUE
"9","NATO IN STALLA",TRUE
"10","RIENTRO DA PASCOLO",TRUE
"11","TRASFERITO SENZA ACQUISTO",TRUE
"12","PRIMA ISCRIZIONE",TRUE
"13","RIENTRO DA PAESE ESTERO",FALSE
"14","ACQUISTATO DA PAESI TERZI",FALSE
"15","RIENTRO FIERA MANCATA VENDITA",TRUE
"16","NATO IN STALLA (PARTO GEMELLARE)",TRUE
