"Codice","Descrizione","prov_italia"
"B","ACQUISTATO DA CENTRO DI PRODUZIONE SEMINALE",TRUE
"C","ACQUISTATO DA PAESI UE CON CEDOLA",FALSE
"E","ACQUISTATO DA PAESI UE",FALSE
"F","ACQUISTATO DA FIERA O MERCATO",TRUE
"G","ACQUISTATO DA CENTRO GENETICO",TRUE
"K","ACQUISTATO DA CENTRO DI RACCOLTA",TRUE
"L","ACQUISTATO DA STALLA DI SOSTA",TRUE
"M","ACQUISTATO DA ALL. ITALIANO",TRUE
"N","NATO IN STALLA",TRUE
"P","RIENTRO DA PASCOLO",TRUE
"Q","TRASFERITO SENZA ACQUISTO",TRUE
"R","PRIMA ISCRIZIONE",TRUE
"S","RIENTRO DA PAESE ESTERO",FALSE
"T","ACQUISTATO DA PAESI TERZI",FALSE
"V","RIENTRO FIERA MANCATA VENDITA",TRUE
"W","NATO IN STALLA (PARTO GEMELLARE)",TRUE
